disagreement_case_id,model,model_display,original_row_index,y_true,attack_category,rank,feature_index,feature_name,raw_feature_value,shap_value_raw_score,absolute_shap_value,direction
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,11,23,Fwd IAT Std,15345146.3008279,0.14594700932502747,0.14594700932502747,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,12,46,RST Flag Cnt,0.0,-0.12979385256767273,0.12979385256767273,supports_benign
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,13,40,Pkt Len Max,500.0,0.12861382961273193,0.12861382961273193,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,14,7,Fwd Pkt Len Max,500.0,0.11305085569620132,0.11305085569620132,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,15,41,Pkt Len Mean,500.0,0.1030421108007431,0.1030421108007431,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,16,74,Idle Mean,21369823.75,0.09830513596534729,0.09830513596534729,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,17,37,Fwd Pkts/s,0.06705442,-0.08644600212574005,0.08644600212574005,supports_benign
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,18,22,Fwd IAT Mean,17895912.0,-0.07803001254796982,0.07803001254796982,supports_benign
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,19,9,Fwd Pkt Len Mean,500.0,0.07456795126199722,0.07456795126199722,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,20,20,Flow IAT Min,4000265.0,0.07302337139844894,0.07302337139844894,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,21,73,Active Min,4000265.0,0.06714183837175369,0.06714183837175369,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,22,11,Bwd Pkt Len Max,0.0,0.0664079412817955,0.0664079412817955,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,23,13,Bwd Pkt Len Mean,0.0,0.06560193747282028,0.06560193747282028,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,24,72,Active Max,4000265.0,-0.05867503955960274,0.05867503955960274,supports_benign
