group,case_count,rank,feature_index,feature,five_seed_consensus_rollout,seed_standard_deviation
TRUE_BENIGN,32,37,48,CWE Flag Count,0.012881808848986084,0.0013351143923358106
TRUE_BENIGN,32,38,31,Fwd PSH Flags,0.012859719999659494,0.001279077511601202
TRUE_BENIGN,32,39,65,Active Min,0.012814215909949864,0.003338104778086806
TRUE_BENIGN,32,40,29,Bwd IAT Max,0.012788155220453326,0.0013114590294696228
TRUE_BENIGN,32,41,4,Tot Bwd Pkts,0.012782535358218217,0.0014078871994344462
TRUE_BENIGN,32,42,5,TotLen Fwd Pkts,0.012759286580979157,0.0017690147943014128
TRUE_BENIGN,32,43,69,Idle Min,0.012753278076324356,0.0031929293670070248
TRUE_BENIGN,32,44,23,Fwd IAT Std,0.012632157457962371,0.001092129295284677
TRUE_BENIGN,32,45,67,Idle Std,0.012569332468317946,0.0015304239764434753
TRUE_BENIGN,32,46,66,Idle Mean,0.012335434304319631,0.0026406366024468273
TRUE_BENIGN,32,47,22,Fwd IAT Mean,0.012319995770624034,0.0012115753465797156
TRUE_BENIGN,32,48,24,Fwd IAT Max,0.012319376543480563,0.0008980271315832091
TRUE_BENIGN,32,49,8,Fwd Pkt Len Min,0.01231297435630554,0.0022115898587595894
TRUE_BENIGN,32,50,27,Bwd IAT Mean,0.012302608289904624,0.0013355605113618914
TRUE_BENIGN,32,51,17,Flow IAT Mean,0.012273255740300321,0.001360858604087648
TRUE_BENIGN,32,52,30,Bwd IAT Min,0.012229754911410342,0.0018118915276750104
TRUE_BENIGN,32,53,15,Flow Byts/s,0.012214299469040063,0.0018477912850028376
TRUE_BENIGN,32,54,56,Subflow Bwd Pkts,0.012188137116770456,0.0032849566615952897
TRUE_BENIGN,32,55,28,Bwd IAT Std,0.012146066697840532,0.002005041622159337
TRUE_BENIGN,32,56,54,Subflow Fwd Pkts,0.012146050991339108,0.001294214429869986
TRUE_BENIGN,32,57,20,Flow IAT Min,0.0120666072645259,0.0012863338387393646
TRUE_BENIGN,32,58,32,Fwd URG Flags,0.011966418544004574,0.001171839898043794
TRUE_BENIGN,32,59,68,Idle Max,0.011925421083666664,0.0008112138606132605
TRUE_BENIGN,32,60,25,Fwd IAT Min,0.011713254340055698,0.0007077613298324625
TRUE_BENIGN,32,61,33,Fwd Header Len,0.011619998568961634,0.001644677521718787
TRUE_BENIGN,32,62,57,Subflow Bwd Byts,0.011559446583181887,0.0010677842991764887
TRUE_BENIGN,32,63,62,Active Mean,0.011530483579644975,0.0015711677589124154
TRUE_BENIGN,32,64,63,Active Std,0.011525003177837449,0.0020796777863531014
TRUE_BENIGN,32,65,42,FIN Flag Cnt,0.011512248281696781,0.001544837632295275
TRUE_BENIGN,32,66,55,Subflow Fwd Byts,0.011405981252426117,0.0006553039962912824
TRUE_BENIGN,32,67,6,TotLen Bwd Pkts,0.011360483411902015,0.0013821572057576212
TRUE_BENIGN,32,68,41,Pkt Len Var,0.011323739511626418,0.0007653482943312698
TRUE_BENIGN,32,69,21,Fwd IAT Tot,0.011174653507497832,0.00087695712219026
TRUE_BENIGN,32,70,3,Tot Fwd Pkts,0.010815186674646982,0.0013922740409362435
PREDICTED_ATTACK,32,1,61,Fwd Seg Size Min,0.040567974787499614,0.007305111373579919
PREDICTED_ATTACK,32,2,58,Init Fwd Win Byts,0.03457274301978468,0.0062153698711176755
PREDICTED_ATTACK,32,3,0,Dst Port,0.022211196377295343,0.0034785982866978866
PREDICTED_ATTACK,32,4,35,Fwd Pkts/s,0.01914075231215518,0.010158209707548327
PREDICTED_ATTACK,32,5,14,Bwd Pkt Len Std,0.018585794174168304,0.00498192960921053
PREDICTED_ATTACK,32,6,50,Down/Up Ratio,0.018239941145381976,0.003921549338190852
PREDICTED_ATTACK,32,7,9,Fwd Pkt Len Mean,0.018108150578469102,0.00310017704537216
PREDICTED_ATTACK,32,8,52,Fwd Seg Size Avg,0.017819092179193436,0.0020964209792014403
PREDICTED_ATTACK,32,9,46,ACK Flag Cnt,0.01735993021927215,0.00257072524276768
PREDICTED_ATTACK,32,10,10,Fwd Pkt Len Std,0.016738643888659525,0.0024612828127756124
PREDICTED_ATTACK,32,11,13,Bwd Pkt Len Mean,0.015619206854896983,0.006130980923905137
PREDICTED_ATTACK,32,12,51,Pkt Size Avg,0.015433280700517771,0.0028322441400978845
PREDICTED_ATTACK,32,13,18,Flow IAT Std,0.01541335656302691,0.003460292982193027
PREDICTED_ATTACK,32,14,7,Fwd Pkt Len Max,0.015353945387753098,0.001317586134320562
PREDICTED_ATTACK,32,15,49,ECE Flag Cnt,0.01521499601737536,0.003535357323290581
PREDICTED_ATTACK,32,16,36,Bwd Pkts/s,0.015158470099101326,0.001989075551621928
PREDICTED_ATTACK,32,17,59,Init Bwd Win Byts,0.0150375655980779,0.0011529511213828171
PREDICTED_ATTACK,32,18,45,PSH Flag Cnt,0.014987714839787763,0.0031651654805432104
PREDICTED_ATTACK,32,19,16,Flow Pkts/s,0.014928612975459965,0.002810086295051415
PREDICTED_ATTACK,32,20,44,RST Flag Cnt,0.014751816443798749,0.0018132472664157257
PREDICTED_ATTACK,32,21,64,Active Max,0.01448227765630275,0.003257515717027723
PREDICTED_ATTACK,32,22,2,Flow Duration,0.013994728001125823,0.0012244947552086222
PREDICTED_ATTACK,32,23,34,Bwd Header Len,0.013787037974837995,0.002240864768256411
PREDICTED_ATTACK,32,24,53,Bwd Seg Size Avg,0.013769959666414847,0.0019169410834280847
PREDICTED_ATTACK,32,25,38,Pkt Len Max,0.013738152526381168,0.0011868135408472059
PREDICTED_ATTACK,32,26,19,Flow IAT Max,0.013576914494336045,0.0018425824693132325
PREDICTED_ATTACK,32,27,11,Bwd Pkt Len Max,0.013556800615939205,0.002014229794348932
PREDICTED_ATTACK,32,28,47,URG Flag Cnt,0.013512235968852714,0.004028802633075884
PREDICTED_ATTACK,32,29,5,TotLen Fwd Pkts,0.013333896008445048,0.001400821815427248
PREDICTED_ATTACK,32,30,26,Bwd IAT Tot,0.01317474958673541,0.0026322215409588083
PREDICTED_ATTACK,32,31,43,SYN Flag Cnt,0.013172284702265816,0.00226116104428439
PREDICTED_ATTACK,32,32,39,Pkt Len Mean,0.013144639872755876,0.0025851958657475095
PREDICTED_ATTACK,32,33,1,Protocol,0.013111474451777983,0.0022994307251488644
PREDICTED_ATTACK,32,34,48,CWE Flag Count,0.013009979415143886,0.0018776036683546065
PREDICTED_ATTACK,32,35,31,Fwd PSH Flags,0.012923740356029157,0.0013566469238441476
PREDICTED_ATTACK,32,36,4,Tot Bwd Pkts,0.01287060160185216,0.0018730644253256822
