model,model_display,selected_outcome,feature_index,feature_name,case_count,mean_attribution,mean_absolute_attribution,median_absolute_attribution,maximum_absolute_attribution,top10_case_count,top10_case_rate,positive_case_fraction,mean_reference_sign_consistency,outcome_absolute_rank
cnn,CNN,FP,3,Tot Fwd Pkts,8,0.00012047415249772845,0.00017800306562100959,0.00015921118546495194,0.00038454891402687477,0,0.0,0.75,0.5234375,65
cnn,CNN,FP,62,Subflow Fwd Pkts,8,5.9065472788733325e-05,7.065497494522905e-05,5.433420061019683e-05,0.00013920736388558898,0,0.0,0.875,0.5234375,66
cnn,CNN,FP,32,Bwd PSH Flags,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,67
cnn,CNN,FP,33,Fwd URG Flags,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,68
cnn,CNN,FP,34,Bwd URG Flags,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,69
cnn,CNN,FP,44,FIN Flag Cnt,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,70
cnn,CNN,FP,49,URG Flag Cnt,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,71
cnn,CNN,FP,50,CWE Flag Count,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,72
cnn,CNN,FP,56,Fwd Byts/b Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,73
cnn,CNN,FP,57,Fwd Pkts/b Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,74
cnn,CNN,FP,58,Fwd Blk Rate Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,75
cnn,CNN,FP,59,Bwd Byts/b Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,76
cnn,CNN,FP,60,Bwd Pkts/b Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,77
cnn,CNN,FP,61,Bwd Blk Rate Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,78
cnn,CNN,TN,46,RST Flag Cnt,8,-0.3189239754808506,0.8598481418338788,0.8088417177887255,2.163696665412113,6,0.75,0.125,0.625,1
cnn,CNN,TN,51,ECE Flag Cnt,8,-0.045495756958015554,0.6984996340640894,0.3586172831212511,2.592741053855152,4,0.5,0.25,0.625,2
cnn,CNN,TN,14,Bwd Pkt Len Std,8,-0.43967725306800703,0.6531328697655765,0.8268494317158612,1.0800936142003477,6,0.75,0.25,0.62109375,3
cnn,CNN,TN,11,Bwd Pkt Len Max,8,0.0963504494517565,0.5961845828752177,0.48855829359021496,1.8037391269269674,7,0.875,0.75,0.65234375,4
cnn,CNN,TN,67,Init Bwd Win Byts,8,0.04522396477120705,0.5857941667842081,0.4479141921825176,1.9976930327670894,5,0.625,0.25,0.6328125,5
cnn,CNN,TN,53,Pkt Size Avg,8,0.01066960352188353,0.5324246213719681,0.3211119069979109,2.0870200714003384,3,0.375,0.875,0.69921875,6
cnn,CNN,TN,10,Fwd Pkt Len Std,8,-0.4211099377253015,0.4886088750611299,0.28820583616247875,1.1805775208924696,5,0.625,0.125,0.66015625,7
cnn,CNN,TN,0,Dst Port,8,0.46490962327920626,0.46490962327920626,0.4224023071052885,0.7040468219509981,6,0.75,1.0,0.5,8
cnn,CNN,TN,2,Flow Duration,8,0.019737935094839273,0.45879009609937577,0.2950256036216274,1.756208644018146,3,0.375,0.875,0.71875,9
cnn,CNN,TN,55,Bwd Seg Size Avg,8,0.1808769138211953,0.4127207525562194,0.1595013301579421,2.1473439785084016,2,0.25,0.375,0.64453125,10
