model,model_display,case_id,holdout_position,original_row_index,y_true,attack_category,input_probability,input_logit,baseline_id,baseline_display,semantic_role,baseline_count,baseline_mean_logit,target_logit_difference,integration_method,integration_steps,attribution_sum,signed_completeness_error,absolute_completeness_error,normalized_completeness_error,completeness_pass,attribution_l1_norm,attribution_l2_norm
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.219524258747697,8.685354823246598,Trapezoidal rule,32,8.663505982538632,-0.021848840707965778,0.021848840707965778,0.00251559563801432,True,32.27287383984364,9.42539178458943
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.219524258747697,8.685354823246598,Trapezoidal rule,64,8.698676517537375,0.01332169429077723,0.01332169429077723,0.0015338111754653176,True,32.35521673118401,9.436538761930514
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.219524258747697,8.685354823246598,Trapezoidal rule,128,8.680898353349054,-0.004456469897544224,0.004456469897544224,0.0005131016507945485,True,32.34134316980031,9.436588167639579
cnn,CNN,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.9691233038902283,3.4463882446289062,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,23.619430541992188,Trapezoidal rule,16,24.118593754001967,0.49916321200977976,0.49916321200977976,0.021133583687478592,False,33.39112437327301,7.041371675806429
cnn,CNN,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.9691233038902283,3.4463882446289062,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,23.619430541992188,Trapezoidal rule,32,23.852163790333975,0.23273324834178766,0.23273324834178766,0.009853465684874116,False,33.31232436686204,7.053349847936149
cnn,CNN,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.9691233038902283,3.4463882446289062,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,23.619430541992188,Trapezoidal rule,64,23.730238526349574,0.11080798435738615,0.11080798435738615,0.004691391020642279,False,33.20204994161695,7.044525680166559
cnn,CNN,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.9691233038902283,3.4463882446289062,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,23.619430541992188,Trapezoidal rule,128,23.6227855443068,0.0033550023146133867,0.0033550023146133867,0.00014204416607964537,True,33.131509139942935,7.0326857105302425
cnn,CNN,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.9691233038902283,3.4463882446289062,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,6.499449729919434,Trapezoidal rule,16,6.621804173838422,0.12235444391898831,0.12235444391898831,0.018825354299725462,False,10.28820190239303,5.041328653346458
cnn,CNN,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.9691233038902283,3.4463882446289062,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,6.499449729919434,Trapezoidal rule,32,6.505642038443728,0.006192308524294532,0.006192308524294532,0.0009527435062369951,True,10.132399382945835,4.941770260493289
cnn,CNN,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.9691233038902283,3.4463882446289062,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,6.499449729919434,Trapezoidal rule,64,6.483864355224917,-0.01558537469451693,0.01558537469451693,0.0023979529563512947,True,10.116733145227105,4.928673384515948
